Name,Día,Link,Star Rating,Tags,Total Time
Osobuco  a la milanesa,,https://www.directoalpaladar.com/recetas-de-carnes-y-aves/ossobuco-a-la-milanesa-receta-tradicional,,,
Pastela vegetariana Gipsy,,https://www.youtube.com/watch?v=HkO3HIQN7S0&list=PLj8zUbX92rKgfnsSp4kIv6dd37_QUxM6o&index=5,,,
Revuelto de espinacas y atún,,https://www.youtube.com/watch?v=3-9N2Z8lVqc&list=PLj8zUbX92rKgfnsSp4kIv6dd37_QUxM6o&index=1,,Dinner,
Fidegua gipsy,Jueves,https://www.youtube.com/watch?v=Hx3BLyEeU8M,,,
Pollo agridulce gipsy,,https://www.youtube.com/watch?v=jkw9Mrl5hRI&t=1s,,,
Arroz con bacalao,,https://www.youtube.com/watch?v=K99YO0bjEVI,,,
Salteado de salmon,,https://www.youtube.com/watch?v=REr2N-Uhd-o,,Easy,
Aguachile de salmón,,https://www.youtube.com/watch?v=BypPwM2yrmU,,Easy,
Salmón al horno con brocoli,,,,,
Tacos gipsy,,https://www.youtube.com/watch?v=zkwJ_NmamMw,,,
Tiradito de bacalao,,https://www.youtube.com/watch?v=UZlyX-gi0WI&t=2s,,Easy,
Garbanzos con sobrasada,Lunes,https://www.youtube.com/watch?v=t44_RGJ9kOQ,,,
Albondigas gipsy,,https://www.youtube.com/watch?v=lcFoC8E2f4c,,Easy,
Arroz con conejo,,,,,
Paella de sepia y gambas,,,★★★★,,
Pescado al horno,,https://www.youtube.com/watch?v=G8rVBEEXbSU,★★★★,,
Crema de calabaza,,https://danzadefogones.com/sopa-de-calabaza/,,Nidia,
Cinta de lomo con brocoli,,,,,
Lasaña,,,,Nidia,
Lasaña verduras,,,,Nidia,
Menestra de verduras con carne,,,,Nidia,
Berenjenas rellenas,,,★★★★★,Nidia,
Berenjenas con queso,,,,,
Romanescu,,,,Nidia,
Ramen,,https://www.recetasdeescandalo.com/receta-de-ramen-casero-una-sopa-japonesa-deliciosa-y-reconfortante/,,,A lot
Curry de berenjena,,https://www.pickuplimes.com/single-post/2020/03/30/Eggplant-Lentil-Apricot-Curry,,,
Wrap de lechuga con noddles,,https://www.pickuplimes.com/single-post/2020/03/02/High-Protein-Lettuce-Wraps-with-Creamy-Peanut-Sauce,,,
Sushi en bowl,,https://www.pickuplimes.com/single-post/2017/10/25/Deconstructed-Sushi-Bowl-with-Sweet-Sesame-Dressing,,,
Sopa Miso,,https://www.pickuplimes.com/single-post/2019/04/12/Glorified-Miso-Soup-Ramen-To-Go,,,
Sopa Juliana,,https://www.directoalpaladar.com/recetas-de-sopas-y-cremas/receta-de-sopa-juliana,,Nidia,
Vegan butter chiken,,https://www.pickuplimes.com/single-post/2020/03/30/Vegan-Butter-Chicken-with-Baked-Tofu,,,
Curry de patatas y guisantes,,https://www.pickuplimes.com/single-post/2020/03/30/Potato-Green-Pea-Curry,,,35 mins
tzatziki,,https://www.pickuplimes.com/single-post/2020/05/10/Vegan-Tzatziki,,,
Espinacas a la crema,,https://www.recetasdeescandalo.com/espinacas-la-crema-gratinadas-una-receta-facil/,,"Dinner, Light, Nidia",
Bacalao con tomate,,,★★★★★,"Dinner, Lunch",
Tajín de verduras y cordero,,https://www.directoalpaladar.com/recetas-de-legumbres-y-verduras/tajine-de-verduras-al-ras-el-hanout-con-cuscus-receta-rapida,,"Dinner, Light, Lunch",
Ceviche,,https://www.simplyrecipes.com/recipes/ceviche/ (TBD),★★★★★,,
Fajitas de pollo,,https://www.tasteofhome.com/recipes/flavorful-chicken-fajitas/,★★★,"Dinner, Lunch",
Carrilleras de ternera con vino tinto,,https://www.directoalpaladar.com/recetas-de-carnes-y-aves/carrilleras-ternera-guisadas-vino-tinto-receta-tradicional,,"Lunch, Nidia",
Crema de calabacín,,,,"Dinner, Easy, Light, Nidia",
Crema de calabaza,Lunes,,,,
Crema zanahorias,,https://www.youtube.com/watch?v=ttZsEPL0M8c,,,
Cocido madrileño,,,,"Lunch, Nidia, contundente",
Albondigas en salsa española,,,,Nidia,
Guisantes Lagrima,,,,Nidia,
Lentejas guisadas,,,★★★,Nidia,
Acelgas rehogadas,,,★★,Nidia,
Ternera a la jardinera,,,★,Nidia,
Costillas a la riojana,,,★★★★,Nidia,
Judías verdes rehogadas,,,★★★,Nidia,
Ensalada thai de ternera,,https://www.directoalpaladar.com/recetas-de-ensaladas/ensalada-tailandesa-de-ternera-receta-de-inspiracion-thai,,,
Falafel,,https://www.pickuplimes.com/single-post/2020/05/10/Baked-Green-Pea-Chickpea-Falafels,★★★,Nidia,35
Wok de ternera y verduras,,http://www.demoslavueltaaldia.com/receta/wok-de-ternera-con-setas-y-verduras,,,
,,,,,
Coliflor gratinada,,https://www.recetasdeescandalo.com/coliflor-con-bechamel-gratinada-al-horno/,★★★,Nidia,
Arroz al horno,,https://www.youtube.com/watch?v=UshncBcPeFI,,,
Pollo al mole,,,,,
Alitas de pollo,,,,,
Arroz mexicano,,,,,
Muslos de pavo a la catalana,,,,,
Cochinita pibil,,,★★★★★,,
Huevos al plato,,https://www.directoalpaladar.com/recetas-de-huevos-y-tortillas/huevos-al-plato-al-estilo-vasco-frances-receta,★★★,Nidia,
Dorada a la marsellesa,,https://www.directoalpaladar.com/recetas-de-pescados-y-mariscos/dorada-a-la-marsellesa-receta,,,
Verduras estofadas,,https://www.directoalpaladar.com/recetas-de-legumbres-y-verduras/verduras-estofadas-grasas-receta-dieta-sencilla-para-cena-comida-ligera,,,
Tian de verduras,,https://www.directoalpaladar.com/recetas-de-legumbres-y-verduras/tian-de-verduras-receta-sana-y-facil-para-sorprender-con-video-incluido,,Nidia,
Ensalada thai,,https://www.directoalpaladar.com/recetas-de-ensaladas/esta-ensalada-tailandesa-se-hace-diez-minutos-esta-muerte,,,
Quesadillas de sobrasada,,https://www.directoalpaladar.com/recetas-de-aperitivos/quesadillas-de-sobrasada-y-queso-havarti-receta-de-aperitivo,,,
Onigirazu Sandwich de sushi,,https://bake-street.com/onigirazu-sandwich-de-onigiri/,,,
Sandwich mixto,,,,,
Vichisoisse,,,,,
"Berenjenas con chermoula  ",,,,,
Pisto (Shakshuka),Sábado,,★★★★,Nidia,
Tabulé,,,,,
Arroz al caldero,,,,,
Magret pekinesa,,https://www.pinterest.es/pin/822751425703194896/feedback/?invite_code=ae612198feca4cfe8d972c1df7ed08cc&sender_id=340162715513282285,★★★★★,eventos,30
Pechuga pollo baja temperatura,,https://www.youtube.com/watch?v=cXeYj0EBb24,,,
Lubina,Jueves,,,,
Espaguetti carbonara,Viernes,,,,
Cocido N,Miercoles,,,,
Tortilla de patatas,Miercoles,https://www.youtube.com/watch?v=fCe7IcBwNLI,,,
pizza,Viernes,,,,
Migas,Martes,,,,
No se cocina,Martes,,,,
Contramuslos de pollo guisados,,,,,
